,city,position,salary_raw,skills,experience_raw,education_raw,job_type,headcount,company_address,updated_date,salary_avg,salary_outlier_flag,education_clean,experience_years,company_id
425,北京,数据产品经理,1.5-2万,[],3-5年,本科,全职,1,北京·海淀·海淀街道,2024/8/16,17500.0,0,本科,4.0,30652
426,北京,大客户销售（北京）,9000-15000元,[],1-3年,大专,全职,2,北京·丰台·新村,2025/4/1,12000.0,0,大专,2.0,30903
427,北京,人工智能模型训练优化,2.6-5万,"['人工智能模型', 'Transformer', 'PyTorch', 'Python', 'MATLAB', 'Java']",5-10年,硕士,全职,4,北京·丰台·看丹,2025/2/20,38000.0,0,硕士,7.5,30904
428,北京,存算一体人工智能方向博士后,4-5.5万,['芯片'],1-3年,博士,全职,1,北京·海淀·东升,2025/3/18,47500.0,1,博士,2.0,30905
429,北京,品牌经理,1.5-2.2万,"['品牌公关', '品牌营销', '新媒体媒介', '智能硬件', '线下活动', '视频拍剪', '文案能力']",5-10年,本科,全职,1,北京·石景山·古城,2025/3/27,18500.0,0,本科,7.5,30906
430,北京,AI工程师,3.5-4万,"['大模型算法', '搜索/推荐算法', '英语']",经验不限,硕士,全职,1,北京·海淀·上地,2025/3/12,37500.0,0,硕士,,30907
431,北京,人工智能标准化政策研究岗（全职/实习）,8000-12000元,[],经验不限,硕士,全职,2,北京·东城·安定门,2024/8/5,10000.0,0,硕士,,30775
432,北京,人工智能（数字工程研究中心-数据建模）,1.8-2.7万,"['C++', 'Python', 'C#']",1-3年,硕士,全职,1,北京·海淀·羊坊店,2025/2/10,22500.0,0,硕士,2.0,30908
433,北京,GPU云工程师（全栈式）,2-3万·15薪,"['全栈', 'Python', 'GoLang']",5-10年,本科,全职,1,北京·朝阳·东湖,2024/6/28,25000.0,0,本科,7.5,30804
434,北京,AI 应用开发工程师,2-2.5万,[],5-10年,本科,全职,3,北京·海淀·北下关,2025/3/25,22500.0,0,本科,7.5,30909
435,北京,标准化领域人工智能应用前端开发岗,1.2-1.5万,"['CSS', 'JavaScript', 'TypeScript', 'Vue']",经验不限,本科,全职,1,北京·海淀·北太平庄,2025/3/13,13500.0,0,本科,,30640
436,北京,千亿机遇人工智能运营总监经理,2-3.5万,"['电商运营', '产品运营', '用户运营']",1-3年,本科,全职,1,北京·顺义·空港,2025/3/6,27500.0,0,本科,2.0,30910
